MAKE, MODEL, VARIANT, YEAR FROM, YEAR TO, SYSTEM NUMBER, TYPE OF SYSTEM, ADDITIONAL, TIP STYLE, PIPE Ø (MM), PIPE Ø (INCHES), EC-APPROVED?, RACE SYSTEM, VALVESONIC, FITTING TIME, SHIPPING DATA, GTIN, PRICE (EXC VAT), PRICE (INC VAT)
Alfa Romeo, Giulia, Quadrifoglio 2.9 V6 Bi-Turbo (Non OPF/GPF Models),2017,2026, SSXAR002, Front Pipe-back, Valved with GT-100 Cerakote Trims, Quad 100mm GT100 ,70,"2,76", No, No, No, 3.00 to 4.00 hours, Ships in 2 boxes. Box 1: 97X 87 X28  at 18kg. Box 2: 130X 40 X30 at 12kg.,5056214700002,1976,"2371,43"
Alfa Romeo, Giulia, Quadrifoglio 2.9 V6 Bi-Turbo (Non OPF/GPF Models),2017,2026, SSXAR001, Front Pipe-back, Valved with GT-100 Polished Trims, Quad 100mm GT100 ,70,"2,76", No, No, No, 3.00 to 4.00 hours, Ships in 2 boxes. Box 1: 97X 87 X28  at 18kg. Box 2: 130X 40 X30 at 12kg.,5056214700019,1976,"2371,43"
Alfa Romeo, Giulia, Quadrifoglio 2.9 V6 Bi-Turbo (Non OPF/GPF Models),2017,2026, SSXAR003, Front Pipe-back, Valved with GT-100 Titanium Trims, Quad 100mm GT100 ,70,"2,76", No, No, No, 3.00 to 4.00 hours, Ships in 2 boxes. Box 1: 97X 87 X28  at 18kg. Box 2: 130X 40 X30 at 12kg.,5056214700026,2249,"2698,67"
Alfa Romeo, Giulia, Quadrifoglio 2.9 V6 Bi-Turbo (Non OPF/GPF Models),2017,2026, SSXAR004, Front Pipe-back, with GT-100 Burnt Titanium Trims, Quad 100mm GT100 ,70,"2,76", No, No, No, 3.00 to 4.00 hours, Ships in 2 boxes. Box 1: 97X 87 X28  at 18kg. Box 2: 130X 40 X30 at 12kg.,5056214700033,2530,"3036,49"
Alfa Romeo, Giulia, Quadrifoglio 2.9 V6 Bi-Turbo (Non OPF/GPF Models),2017,2026, SSXAR005, Front Pipe-back, with Jet-100 Carbon Trims, 102 Jet ,70,"2,76", No, No, No, 3.00 to 4.00 hours, Ships in 2 boxes. Box 1: 97X 87 X28 at 18kg. Box 2: 130X 40 X30 at 12kg.,5056214700040,2203,"2643,2"
Alfa Romeo, Giulia, Quadrifoglio 2.9 V6 Bi-Turbo (Non OPF/GPF Models),2017,2026, SSXAR009, Cat-back, Valved with GT-100 Burnt Titanium Trims, Quad 100mm GT100 ,70,"2,76", No, No, No, 3.00 to 4.00 hours, Ships in 2 boxes. Box 1: 97X 87 X28  at 25kg. Box 2: 130X 40 X30 at 17kg.,5056214700088,3049,"3658,42"
Alfa Romeo, Giulia, Quadrifoglio 2.9 V6 Bi-Turbo (Non OPF/GPF Models),2017,2026, SSXAR007, Cat-back, Valved with GT-100 Cerakote Trims, Quad 100mm GT100 ,70,"2,76", No, No, No, 3.00 to 4.00 hours, Ships in 2 boxes. Box 1: 97X 87 X28  at 25kg. Box 2: 130X 40 X30 at 17kg.,5056214700057,2494,"2993,35"
Alfa Romeo, Giulia, Quadrifoglio 2.9 V6 Bi-Turbo (Non OPF/GPF Models),2017,2026, SSXAR006, Cat-back, Valved with GT-100 Polished Trims, Quad 100mm GT100 ,70,"2,76", No, No, No, 3.00 to 4.00 hours, Ships in 2 boxes. Box 1: 97X 87 X28  at 25kg. Box 2: 130X 40 X30 at 17kg.,5056214700064,2494,"2993,35"
Alfa Romeo, Giulia, Quadrifoglio 2.9 V6 Bi-Turbo (Non OPF/GPF Models),2017,2026, SSXAR008, Cat-back, Valved with GT-100 Titantium Trims, Quad 100mm GT100 ,70,"2,76", No, No, No, 3.00 to 4.00 hours, Ships in 2 boxes. Box 1: 97X 87 X28  at 25kg. Box 2: 130X 40 X30 at 17kg.,5056214700071,2767,"3320,59"
Alfa Romeo, Giulia, Quadrifoglio 2.9 V6 Bi-Turbo (Non OPF/GPF Models),2017,2026, SSXAR010, Cat-back, Valved with Jet-100 Carbon Trims, 102 Jet ,70,"2,76", No, No, No, 3.00 to 4.00 hours, Ships in 2 boxes. Box 1: 97X 87 X28 at 22kg. Box 2: 130X 40 X30  at 16kg.,5056214700095,2721,"3265,13"
Alfa Romeo, Stelvio, Quadrifoglio 2.9 V6 Bi-Turbo,2018,2026, SSXAR11, Active Valve Control, Operates via driver select modes, , N/A, N/A, No, No, No, 0.00 to 0.00 hours, Ships in 1 box measuring 40 X 40 X 10  and weighing 1kg.,5056214716140,524,"628,94"
Audi, A1, 1.4 TFSI S line 122PS,2010,2015, SSXAU283, Cat-back, Non-resonated (louder) cat-back, Twin 80mm GT80 ,"63,5","2,5", No, No, No, 1.00 to 1.50 hours O.E system requires cutting for removal , Ships in 1 box measuring 150 X 45 X 36 and weighing 22kg.,5056214700101,661,"792,96"
Audi, A1, 1.4 TFSI S line 122PS,2010,2015, SSXAU457, Cat-back, Non-resonated (louder) cat-back with Cerakote Black Tips, Twin 80mm GT80 ,"63,5","2,5", No, No, No, 0.00 to 0.00 hours, Ships in 1 box measuring 130 X 40 X 30 and weighing 18kg.,5056214700118,705,"845,56"
Audi, A1, 1.4 TFSI S line 122PS,2010,2015, SSXAU282, Cat-back, Resonated (quieter) cat-back, Twin 80mm GT80 ,"63,5","2,5", No, No, No, 1.00 to 1.50 hours O.E system requires cutting for removal , Ships in 1 box measuring 130 X 40 X 30 and weighing 17kg.,5056214700125,744,"892,8"
Audi, A1, 1.4 TFSI S line 122PS,2010,2015, SSXAU458, Cat-back, Resonated (quieter) cat-back with Cerakote Black Tips, Twin 80mm GT80 ,"63,5","2,5", No, No, No, 0.00 to 0.00 hours, Ships in 1 box measuring 130 X 40 X 30 and weighing 22kg.,5056214700132,788,"945,4"
Audi, A1, 1.4 TFSI S line 150PS ACT,2015,2018, SSXAU459, Cat-back, Non-resonated (louder) with Cerakote Black Tips. Suitable for both Xenon and non-Xenon equipped models., Twin 80mm GT80 ,70,"2,76", No, No, No, 1.00 to 1.50 hours O.E system requires cutting for removal , Ships in 1 box measuring 130 X 40 X 30 and weighing 16kg.,5056214700149,684,"821,22"
Audi, A1, 1.4 TFSI S line 150PS ACT,2015,2018, SSXVW155, Cat-back, Non-resonated (louder) with Polished Tips. Suitable for both Xenon and non-Xenon equipped models., Twin 80mm GT80 ,70,"2,76", No, No, No, 1.00 to 1.50 hours O.E system requires cutting for removal, Ships in 1 box measuring 130 X 40 X 30 and weighing 16kg.,5056214700156,641,"768,62"
Audi, A1, 1.4 TFSI S line 185PS S tronic,2010,2015, SSXAU297, Large-bore Downpipe and De-cat, Must be fitted with the Milltek Sport cat-back system and requires a Stage 2 ECU remap, ,70,"2,76", No, Yes, No, 2.00 to 2.50 hours O.E system requires cutting for removal., Ships in 1 box measuring 130 X 40 X 30 and weighing 12kg.,5056214700187,497,"596,65"
Audi, A1, 1.4 TFSI S line 185PS S tronic,2010,2015, SSXAU459, Cat-back, Non-resonated (louder) with Cerakote Black Tips. Suitable for both Xenon and non-Xenon equipped models., Twin 80mm GT80 ,70,"2,76", No, No, No, 1.00 to 1.50 hours O.E system requires cutting for removal , Ships in 1 box measuring 130 X 40 X 30 and weighing 16kg.,5056214700149,684,"821,22"
Audi, A1, 1.4 TFSI S line 185PS S tronic,2010,2015, SSXVW155, Cat-back, Non-resonated (louder) with Polished Tips. Suitable for both Xenon and non-Xenon equipped models. , Twin 80mm GT80 ,70,"2,76", No, No, No, 1.00 to 1.50 hours O.E system requires cutting for removal, Ships in 1 box measuring 130 X 40 X 30 and weighing 16kg.,5056214700156,641,"768,62"
Audi, A1, 1.4 TFSI S line 185PS S tronic,2010,2015, SSXAU458, Cat-back, Resonated (quieter) cat-back with Cerakote Black Tips - ECE Approved, Twin 80mm GT80 ,"63,5","2,5", Yes, No, No, 0.00 to 0.00 hours, Ships in 1 box measuring 130 X 40 X 30 and weighing 22kg.,5056214700132,788,"945,4"
Audi, A1, 1.4 TFSI S line 185PS S tronic,2010,2015, SSXAU282, Cat-back, Resonated (quieter) cat-back with Polished Tips - ECE Approved, Twin 80mm GT80 ,"63,5","2,5", Yes, No, No, 1.00 to 1.50 hours O.E system requires cutting for removal , Ships in 1 box measuring 130 X 40 X 30 and weighing 17kg.,5056214700125,744,"892,8"
Audi, A1, 40TFSI 5 Door 2.0 (207PS) with OPF/GPF,2019,2026, SSXAU878, Cat-back, GPF/OPF Back System with Cerakote Black GT-76 Trims - EC Approved, Twin 76.2mm GT76 ,70,"2,76", Yes, No, No, 1.00 to 1.50 hours, Ships in 1 box measuring 130 X 40 X 30  and weighing 12kg.,5056214722363,798,"957,28"
Audi, A1, 40TFSI 5 Door 2.0 (207PS) with OPF/GPF,2019,2026, SSXAU879, Cat-back, GPF/OPF Back System with Polished GT-76 Trims - EC Approved, Twin 76.2mm GT76 ,70,"2,76", Yes, No, No, 1.00 to 1.50 hours, Ships in 1 box measuring 130 X 40 X 30  and weighing 12kg.,5056214722356,725,"870,52"
Audi, A3, 1.8 TSI 2WD 3-Door,2008,2012, SSXVW573, Additional parts, Race Rear Silencer Delete to fit with MSVW259 or MSVW263 and Trims (MSVW370 etc), ,70,"2,76", No, Yes, No, 1.00 to 2.00 hours, Ships in 1 box measuring 97 X 87 X 28 and weighing 10kg.,5056214722479,358,"429,26"
Audi, A3, 1.8 TSI 2WD 3-Door,2008,2012, SSXAU260, Turbo-back including Hi-Flow Sports Cat, Requires a Stage 2 ECU remap, Twin 80mm Jet ,"69,85","2,75", No, Yes, No, 2.00 to 2.50 hours, Ships in 1 box measuring 120 X 74 X 28 and weighing 32kg.,5056214700255,1587,"1904,75"
Audi, A3, 1.8 TSI 2WD 3-Door,2008,2012, SSXAU284, Large-bore Downpipe and De-cat, Must be fitted with the Milltek Sport cat-back system and requires a Stage 2 ECU remap, ,"76,2",3, No, Yes, No, 0.00 to 0.00 hours, Ships in 1 box measuring 130 X 40 X 30 and weighing 12kg.,5056214700200,399,"479,16"
Audi, A3, 1.8 TSI 2WD 3-Door,2008,2012, SSXAU200, Cast Downpipe with HJS High Flow Sports Cat," with HJS HQ 200 Cell High Flow Sports Cat. For Fitment to Milltek Sport 2.75"" cat-back systems only. Requires a Stage 2 ECU remap", ,"76,2",3, No, Yes, No, 0.00 to 0.00 hours, Ships in 1 box measuring 130 X 40 X 30 and weighing 13kg.,5056214700217,890,"1068,59"
Audi, A3, 1.8 TSI 2WD 3-Door,2008,2012, SSXAU200R, Cast Downpipe with Race Cat," with 200 Cell Race Cat. For Fitment to Milltek Sport 2.75"" cat-back systems only. Requires a Stage 2 ECU remap", ,"76,2",3, No, Yes, No, 0.00 to 0.00 hours, Ships in 1 box measuring 130 X 40 X 30 and weighing 23kg.,5056214700224,641,"769,07"
Audi, A3, 1.8 TSI 2WD 3-Door,2008,2012, SSXVW149, Cat-back, Non-resonated (louder), Twin 80mm Jet ,"69,85","2,75", No, No, No, 1.00 to 1.50 hours, Ships in 1 box measuring 97 X 87 X 28 and weighing 25kg.,5056214700231,660,"791,88"
Audi, A3, 1.8 TSI 2WD 3-Door,2008,2012, SSXAU259, Cat-back, Resonated (quieter), Twin 80mm Jet ,"69,85","2,75", Yes, No, No, 1.00 to 1.50 hours, Ships in 1 box measuring 97 X 87 X 28 and weighing 27kg.,5056214700248,762,"914,18"
Audi, A3, 1.8T 2WD 3 & 5 door,1996,2004, SSXVW394, Large-bore Downpipe and De-cat, Fot fitment to the OE cat back system only and requires a Stage 2 ECU remap, ,"76,2",3, No, Yes, No, 1.00 to 1.50 hours, Ships in 1 box measuring 130X 40 X30 and weighing 9kg.,5056214700262,283,"339,72"
Audi, A3, 1.8T 2WD 3 & 5 door,1996,2004, SSXAU291, Large-bore Downpipe and De-cat, Must be fitted with the Milltek Sport cat-back system and requires a Stage 2 ECU remap, ,"76,2",3, No, Yes, No, 0.00 to 0.00 hours, Ships in 1 box measuring 131 X 26 X 22 and weighing 7kg.,5056214700279,253,"303,79"
Audi, A3, 1.8T 2WD 3 & 5 door,1996,2004, SSXVW393, Large Bore Downpipe and Hi-Flow Sports Cat, For fitment to the OE Cat Back system only and requires a Stage 2 ECU remap, ,"76,2",3, No, Yes, No, 1.00 to 1.50 hours, Ships in 1 box measuring 130X 40 X30 and weighing 9kg.,5056214700286,638,"765,94"
Audi, A3, 1.8T 2WD 3 & 5 door,1996,2004, SSXVW050, Large Bore Downpipe and Hi-Flow Sports Cat, Must be fitted with the Milltek Sport cat-back system and requires a Stage 2 ECU remap, ,"76,2",3, No, Yes, No, 0.00 to 0.00 hours, Ships in 1 box measuring 124 X 26 X 21 and weighing 5kg.,5056214700293,608,"730,01"
Audi, A3, 1.9 TDI 90 / 100 / 110 / 130 BHP,1996,2004, SSXAU606, Large-bore Downpipe, Removes the catalyst. For fitment to OE Cat Back Only, ,"63,5","2,5", No, Yes, No, 0.00 to 0.00 hours, Ships in 1 box measuring 130X 40 X30  and weighing 8kg.,5056214700309,232,"278,6"
Audi, A3, 1.9 TDI 90 / 100 / 110 / 130 BHP,1996,2004, SSXVW051, Large-bore Downpipe, Removes the catalyst. Must be fitted with the Milltek Sport cat-back system, ,"63,5","2,5", No, Yes, No, 0.00 to 0.00 hours, Ships in 1 box measuring 125 X 35 X 28 and weighing 5kg.,5056214700316,202,"242,68"
Audi, A3, 1.9 TDI 90 / 100 / 110 / 130 BHP,1996,2004, SSXAU080, Cat-back, Non-resonated (louder - recommended on Diesels), Twin 50.8mm Discrete ,"63,5","2,5", No, No, No, 0.00 to 0.00 hours, Ships in 1 box measuring 100 X 40 X 30 and weighing 15kg.,5056214700323,460,"551,98"
Audi, A3, 1.9 TDI 90 / 100 / 110 / 130 BHP,1996,2004, SSXAU081, Cat-back, Resonated (quieter), Twin 50.8mm Discrete ,"63,5","2,5", No, No, No, 0.00 to 0.00 hours, Ships in 1 box measuring 100 X 40 X 30 and weighing 17kg.,5056214700330,513,"615,53"
Audi, A3, 2.0 TDI 170bhp 2WD 3 door DPF,2008,2012, SSXAU566, Particulate Filter-back, Cerakote Black Tips, Twin 80mm GT80 ,"69,85","2,75", No, No, No, 1.00 to 1.50 hours, Ships in 1 box measuring 97X 87 X28  and weighing 22kg.,5056214700477,752,"901,85"
Audi, A3, 2.0 TDI 170bhp 2WD 3 door DPF,2008,2012, SSXVW181, Particulate Filter-back, Polished Tips, Twin 80mm GT80 ,"69,85","2,75", No, No, No, 1.00 to 1.50 hours, Ships in 1 box measuring 97 x 87 x 28  and weighing 24kg.,5056214700484,649,"779,03"
Audi, A3, 2.0 TDI 170bhp 2WD 3 door DPF,2008,2012, SSXAU570, Particulate Filter-back, Titanium Tips, Twin 80mm GT80 ,"69,85","2,75", No, No, No, 1.00 to 1.50 hours, Ships in 1 box measuring 97X 87 X28  and weighing 20kg.,5056214700491,856,"1026,65"
Audi, A3, 2.0 TDI 170bhp 2WD Sportback DPF,2008,2012, SSXAU330, Particulate Filter-back, , Twin 80mm GT80 ,"69,85","2,75", No, No, No, 1.00 to 1.50 hours, Ships in 1 box measuring 120 X 74 X 28 and weighing 22kg.,5056214700507,645,"773,96"
Audi, A3, 2.0 TDI 184PS MQB 2WD (3 Door & Sportback Models),2013,2020, SSXAU565, Cat-back, Non-resonated (louder). Cerakote Black Tips, Twin 80mm GT80 ,70,"2,76", No, No, No, 0.00 to 0.00 hours, Ships in 1 box measuring 120X 74 X28  and weighing 17kg.,5056214700415,698,"837,74"
Audi, A3, 2.0 TDI 184PS MQB 2WD (3 Door & Sportback Models),2013,2020, SSXAU359, Cat-back, Non-resonated (louder). Polished Tips, Twin 80mm GT80 ,70,"2,76", No, No, No, 0.00 to 0.00 hours, Ships in 1 box measuring 120 X 74 X 28 and weighing 23kg.,5056214700422,596,"714,92"
Audi, A3, 2.0 TDI 184PS MQB 2WD (3 Door & Sportback Models),2013,2020, SSXAU569, Cat-back, Non-resonated (louder). Titanium Tips, Twin 80mm GT80 ,70,"2,76", No, No, No, 0.00 to 0.00 hours, Ships in 1 box measuring 120X 74 X28  and weighing 17kg.,5056214700439,802,"962,54"
Audi, A3, 2.0 TDI 184PS MQB 2WD (3 Door & Sportback Models),2013,2020, SSXAU564, Cat-back, Resonated (quieter). Cerakote Black Tips. EC-Approved, Twin 80mm GT80 ,70,"2,76", Yes, No, No, 0.00 to 0.00 hours, Ships in 1 box measuring 120X 74 X28  and weighing 19kg.,5056214700446,813,"975,31"
Audi, A3, 2.0 TDI 184PS MQB 2WD (3 Door & Sportback Models),2013,2020, SSXAU358, Cat-back, Resonated (quieter). Polished Tips. EC-Approved, Twin 80mm GT80 ,70,"2,76", Yes, No, No, 0.00 to 0.00 hours, Ships in 1 box measuring 97 X 87 X 28  and weighing 16kg.,5056214700453,710,"852,49"
Audi, A3, 2.0 TDI 184PS MQB 2WD (3 Door & Sportback Models),2013,2020, SSXAU568, Cat-back, Resonated (quieter). Titanium Tips. EC-Approved, Twin 80mm GT80 ,70,"2,76", Yes, No, No, 0.00 to 0.00 hours, Ships in 1 box measuring 120X 74 X28  and weighing 19kg.,5056214700460,917,"1100,11"
Audi, A3, 2.0 TFSI quattro Sedan 8V (US-only),2014,2020, SSXAU619, Additional parts, Optional Road+ Centre Silencer to Replace either MSAU618 or 618REP (Louder than MSAU618), ,"76,2",3, No, No, No, 0.00 to 0.00 hours, Ships in 1 box measuring 100X 40 X30  and weighing 9kg.,5056214700514,305,"365,88"
Audi, A3, 2.0 TFSI quattro Sedan 8V (US-only),2014,2020, SSXVW348, Large-bore Downpipe and De-cat, For fitment with the OE System Only, ,"76,2",3, No, Yes, No, 0.00 to 0.00 hours, Ships in 1 box measuring 130X 40 X30 and weighing 11kg.,5056214700521,410,"491,46"
Audi, A3, 2.0 TFSI quattro Sedan 8V (US-only),2014,2020, SSXVW264, Large-bore Downpipe and De-cat, Must be fitted with Milltek Sport cat-back system and requires a Stage 2 ECU remap, ,"76,2",3, No, Yes, No, 0.00 to 0.00 hours, Ships in 1 box measuring 130X 40 X30 and weighing 13kg.,5056214700538,415,"497,72"
Audi, A3, 2.0 TFSI quattro Sedan 8V (US-only),2014,2020, SSXVW349, Large Bore Downpipe and Hi-Flow Sports Cat, For Fitment with the OE Exhaust system only and requires a Stage 2 ECU remap, ,"76,2",3, No, Yes, No, 0.00 to 0.00 hours, Ships in 1 box measuring 130X 40 X30 and weighing 13kg.,5056214700545,943,"1131,37"
Audi, A3, 2.0 TFSI quattro Sedan 8V (US-only),2014,2020, SSXAU381, Large Bore Downpipe and Hi-Flow Sports Cat, Must be fitted with Milltek Sport cat-back system and requires a Stage 2 ECU remap, ,"76,2",3, No, Yes, No, 0.00 to 0.00 hours, Ships in 1 box measuring 130 X 40 X 30 and weighing 13kg.,5056214700552,948,"1137,64"
Audi, A3, 2.0 TFSI quattro Sedan 8V (US-only),2014,2020, SSXAU481, Cat-back, Non-resonated (louder). Cerakote Black Tips, Dual GT100 ,"76,2",3, No, No, No, 0.00 to 0.00 hours, Ships in 1 box measuring 120 X 74 X 28 and weighing 25kg.,5056214700569,873,"1047,29"
Audi, A3, 2.0 TFSI quattro Sedan 8V (US-only),2014,2020, SSXAU482, Cat-back, Non-resonated (louder). Polished Tips, Dual GT100 ,"76,2",3, No, No, No, 0.00 to 0.00 hours, Ships in 1 box measuring 120 X 74 X 28 and weighing 25kg.,5056214700576,873,"1047,29"
Audi, A3, 2.0 TFSI quattro Sedan 8V (US-only),2014,2020, SSXAU483, Cat-back, Non-resonated (louder). Titanium Tips, Dual 100mm GT100 ,"76,2",3, No, No, No, 0.00 to 0.00 hours, Ships in 1 box measuring 120 X 74 X 28 and weighing 25kg.,5056214700583,1009,"1210,92"
Audi, A3, 2.0 TFSI quattro Sedan 8V (US-only),2014,2020, SSXAU484, Cat-back, Resonated (quieter). Cerakote Black Tips, Dual GT100 ,"76,2",3, No, No, No, 0.00 to 0.00 hours, Ships in 1 box measuring 120 X 74 X 28 and weighing 30kg.,5056214700590,1009,"1210,43"
Audi, A3, 2.0 TFSI quattro Sedan 8V (US-only),2014,2020, SSXAU485, Cat-back, Resonated (quieter). Polished Tips, Dual GT100 ,"76,2",3, No, No, No, 0.00 to 0.00 hours, Ships in 1 box measuring 120 X 74 X 28 and weighing 30kg.,5056214700606,1009,"1210,43"
Audi, A3, 2.0 TFSI quattro Sedan 8V (US-only),2014,2020, SSXAU486, Cat-back, Resonated (quieter). Titanium Tips, Dual 100mm GT100 ,"76,2",3, No, No, No, 0.00 to 0.00 hours, Ships in 1 box measuring 120 X 74 X 28 and weighing 30kg.,5056214700613,1145,"1374,06"
Audi, A3, 2.0T FSI 2WD 3 door,2003,2012, SSXVW573, Additional parts, Race Rear Silencer Delete to fit with MSVW259 or MSVW263 and Trims (MSVW370 etc), ,70,"2,76", No, Yes, No, 1.00 to 2.00 hours, Ships in 1 box measuring 97 X 87 X 28 and weighing 10kg.,5056214722479,358,"429,26"
Audi, A3, 2.0T FSI 2WD 3 door,2003,2012, SSXAU284, Large-bore Downpipe and De-cat, Must be fitted with the Milltek Sport cat-back system and requires a Stage 2 ECU remap, ,"76,2",3, No, Yes, No, 0.00 to 0.00 hours, Ships in 1 box measuring 130 X 40 X 30 and weighing 12kg.,5056214700200,399,"479,16"
Audi, A3, 2.0T FSI 2WD 3 door,2003,2012, SSXAU200, Cast Downpipe with HJS High Flow Sports Cat," with HJS HQ 200 Cell High Flow Sports Cat. For Fitment to Milltek Sport 2.75"" cat-back systems only. Requires a Stage 2 ECU remap", ,"76,2",3, No, Yes, No, 0.00 to 0.00 hours, Ships in 1 box measuring 130 X 40 X 30 and weighing 13kg.,5056214700217,890,"1068,59"
Audi, A3, 2.0T FSI 2WD 3 door,2003,2012, SSXAU200R, Cast Downpipe with Race Cat," with 200 Cell Race Cat. For Fitment to Milltek Sport 2.75"" cat-back systems only. Requires a Stage 2 ECU remap", ,"76,2",3, No, Yes, No, 0.00 to 0.00 hours, Ships in 1 box measuring 130 X 40 X 30 and weighing 23kg.,5056214700224,641,"769,07"
Audi, A3, 2.0T FSI 2WD 3 door,2003,2012, SSXVW147, Cat-back, Non-resonated (louder) -- EC Approved, Twin 80mm Jet ,"69,85","2,75", Yes, No, No, 1.00 to 1.50 hours, Ships in 1 box measuring 97 X 87 X 28 and weighing 23kg.,5056214700620,595,"713,86"
Audi, A3, 2.0T FSI 2WD 3 door,2003,2012, SSXVW265, Cat-back, Non-resonated (louder) with smaller-volume rear silencer., Twin 80mm Jet ,"69,85","2,75", No, No, No, 0.00 to 0.00 hours, Ships in 1 box measuring 97X 87 X28  and weighing 21kg.,5056214700637,561,"673,55"
Audi, A3, 2.0T FSI 2WD 3 door,2003,2012, SSXVW148, Cat-back, Resonated (quieter) -- EC Approved, Twin 80mm Jet ,"69,85","2,75", Yes, No, No, 1.00 to 1.50 hours, Ships in 1 box measuring 97 X 87 X 28 and weighing 22kg.,5056214700644,697,"836,16"
Audi, A3, 2.0T FSI 2WD 3 door,2003,2012, SSXVW266, Cat-back, Resonated (quieter) with smaller-volume rear silencer., Twin 80mm Jet ,"69,85","2,75", No, No, No, 0.00 to 0.00 hours, Ships in 1 box measuring 97X 87 X28  and weighing 22kg.,5056214700651,663,"795,85"
Audi, A3, 2.0T FSI 2WD 5 door Sportback,2003,2012, SSXVW573, Additional parts, Race Rear Silencer Delete to fit with MSVW259 or MSVW263 and Trims (MSVW370 etc), ,70,"2,76", No, Yes, No, 1.00 to 2.00 hours, Ships in 1 box measuring 97 X 87 X 28 and weighing 10kg.,5056214722479,358,"429,26"
